Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1844.0
FDW14,OUT017,1581.5
NCN55,OUT010,1894.5
FDQ58,OUT017,2610.5
FDY38,OUT027,5186.5
FDH56,OUT046,1916.5
FDL48,OUT018,597.5
FDC48,OUT027,2790.5
FDN33,OUT045,1515.5
FDA36,OUT017,3085.5
FDT44,OUT017,1995.5
FDQ56,OUT045,1314.5
NCC54,OUT019,1855.0
FDU11,OUT049,2046.5
DRL59,OUT013,881.5
FDM24,OUT049,2555.0
FDI57,OUT045,3086.5
DRC12,OUT018,2769.5
NCM42,OUT027,3209.5
FDA46,OUT010,1136.0
FDA31,OUT013,2789.5
NCJ31,OUT035,3880.5
FDG52,OUT046,803.5
NCL19,OUT019,383.0
FDS10,OUT035,3027.5
FDX22,OUT010,1457.0
NCF19,OUT035,927.5
NCE06,OUT046,2535.5
DRC27,OUT046,3844.5
FDE21,OUT035,2031.5
NCR42,OUT019,-1348.0
FDX51,OUT018,2868.5
NCR06,OUT018,441.5
FDU31,OUT027,4948.5
FDU59,OUT017,2716.5
FDR03,OUT027,4774.5
FDS49,OUT027,2770.5
FDD48,OUT010,-66.0
NCF18,OUT017,3112.5
NCD43,OUT027,3117.5
NCD54,OUT018,1995.5
FDY19,OUT010,-34.0
NCY54,OUT017,2816.5
NCL19,OUT018,2031.5
FDP23,OUT010,1542.0
FDC26,OUT013,1805.5
FDR14,OUT010,-1035.0
NCS41,OUT035,3043.5
FDF41,OUT035,4045.5
FDU34,OUT046,1998.5
DRH11,OUT046,928.5
FDM03,OUT013,1749.5
FDS31,OUT017,3044.5
FDJ20,OUT017,2086.5
FDV44,OUT027,4502.5
FDG02,OUT049,3101.5
FDA09,OUT013,2893.5
FDT04,OUT013,673.5
FDL58,OUT019,2292.5
FDE52,OUT045,1458.5
FDW12,OUT035,2510.5
FDL51,OUT017,3542.5
NCY42,OUT027,3703.5
FDR07,OUT017,1655.5
FDN40,OUT045,2379.5
FDB35,OUT027,2958.5
FDA22,OUT017,2744.5
NCL06,OUT046,4111.5
FDI35,OUT013,2901.5
NCW42,OUT045,3415.5
NCX06,OUT049,2933.5
FDC37,OUT027,3206.5
FDZ14,OUT018,1735.0
DRG49,OUT049,3948.5
NCG06,OUT045,3964.5
DRC36,OUT045,2725.5
FDV21,OUT019,61.5
FDB53,OUT046,2356.5
DRP47,OUT019,2044.0
FDA14,OUT013,2337.5
DRC24,OUT035,2573.5
FDW21,OUT018,1422.0
NCH29,OUT046,1565.5
FDU58,OUT013,3069.5
FDY27,OUT017,2949.5
FDV56,OUT035,1951.5
FDT59,OUT046,3654.5
FDB23,OUT046,3614.5
FDR49,OUT045,703.5
FDB03,OUT010,1906.0
FDN39,OUT045,2614.5
FDX02,OUT027,4994.5
FDQ16,OUT027,3198.5
FDU35,OUT018,1349.0
NCT29,OUT013,1953.5
FDZ27,OUT046,832.5
FDN57,OUT017,2344.5
FDA03,OUT018,2098.0
FDZ36,OUT045,2925.5
NCU05,OUT013,1317.5
FDT39,OUT018,2189.0
FDK60,OUT017,1717.5
FDZ25,OUT017,2853.5
FDG12,OUT046,2036.5
DRB01,OUT019,1131.0
NCC43,OUT027,5389.5
FDX13,OUT019,2037.5
FDM22,OUT049,1023.0
FDJ03,OUT027,2316.5
FDU14,OUT018,3678.0
FDB33,OUT010,629.0
FDP27,OUT046,3006.5
FDO38,OUT010,-666.0
FDE28,OUT027,5158.5
FDO27,OUT035,1707.5
DRL23,OUT027,3180.5
FDS28,OUT046,964.5
FDX24,OUT013,1537.5
FDZ02,OUT035,1754.5
FDL46,OUT045,1812.5
FDS60,OUT027,4306.5
NCO06,OUT017,638.5
FDO16,OUT035,1539.5
FDC60,OUT049,1537.0
FDA48,OUT018,3202.0
FDZ36,OUT027,4458.5
FDK27,OUT045,1883.5
FDW23,OUT018,389.5
FDM14,OUT018,1515.0
FDM14,OUT013,1773.5
FDW60,OUT018,2611.0
FDE21,OUT013,1897.5
NCM42,OUT035,1896.5
FDY59,OUT010,-364.0
DRI49,OUT049,1377.0
